@relation brain_tumor_classification-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C15-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C16-Llast-weka.filters.unsupervised.attribute.Remove-R15-16

@attribute contrast numeric
@attribute correlation numeric
@attribute energy numeric
@attribute homogeneity numeric
@attribute mean numeric
@attribute standard_deviation numeric
@attribute entropy numeric
@attribute rms numeric
@attribute variance numeric
@attribute smoothness numeric
@attribute kurtosis numeric
@attribute skewness numeric
@attribute idm numeric
@attribute label {BENIGN,MALIGNANT}

@data
0.0169,0.9183,0.7768,0.9916,0.0051,0.0897,2.9565,0.0898,0.008,0.9495,12.6688,1.1326,-0.846,BENIGN
0.0459,0.7168,0.7942,0.9771,0.0026,0.0898,3.5375,0.0898,0.0081,0.907,7.9318,0.604,-0.3874,BENIGN
0.0331,0.817,0.7873,0.9835,0.0031,0.0898,3.3031,0.0898,0.008,0.9203,7.7875,0.5774,0.971,BENIGN
0.0547,0.7605,0.7201,0.9727,0.0029,0.0898,2.7317,0.0898,0.0081,0.916,6.9099,0.4599,-0.3543,BENIGN
0.0476,0.8453,0.6472,0.9762,0.0043,0.0897,2.5889,0.0898,0.0081,0.9415,6.3354,0.3827,0.9818,BENIGN
0.0658,0.7697,0.6529,0.9671,0.0032,0.0898,3.2215,0.0898,0.0081,0.9216,6.3,0.4856,0.4383,BENIGN
0.0202,0.8109,0.8734,0.9899,0.0039,0.0897,2.764,0.0898,0.0081,0.9355,10.6879,0.9542,1.289,BENIGN
0.0524,0.7749,0.7175,0.9738,0.0019,0.0898,2.9814,0.0898,0.0081,0.8776,7.5606,0.5808,1.0628,BENIGN
0.0385,0.799,0.7714,0.9808,0.0031,0.0898,3.0128,0.0898,0.0081,0.9196,9.828,0.9518,0.2097,BENIGN
0.0237,0.7829,0.8679,0.9882,0.0027,0.0898,2.5242,0.0898,0.0081,0.9087,9.4346,0.7843,-0.3466,BENIGN
0.0347,0.8083,0.7854,0.9826,0.0035,0.0897,3.3364,0.0898,0.008,0.9282,6.7192,0.6948,-0.8435,BENIGN
0.0105,0.9033,0.8816,0.9948,0.0048,0.0897,2.2295,0.0898,0.0081,0.947,21.8833,1.9204,1.1084,BENIGN
0.0234,0.7357,0.8885,0.9883,0.0037,0.0897,3.0618,0.0898,0.008,0.9324,12.1686,1.0705,-0,BENIGN
0.0442,0.7688,0.7667,0.9779,0.002,0.0898,3.1916,0.0898,0.008,0.8836,7.7778,0.6778,0.3094,BENIGN
0.0411,0.7509,0.7956,0.9794,0.0045,0.0897,2.6676,0.0898,0.0081,0.944,10.8989,1.0778,0.3773,BENIGN
0.0301,0.7692,0.8404,0.9849,0.0039,0.0897,2.9163,0.0898,0.0081,0.9349,10.216,0.9829,0.6841,BENIGN
0.0385,0.799,0.7714,0.9808,0.0031,0.0898,3.0128,0.0898,0.0081,0.9196,9.828,0.9518,0.2094,BENIGN
0.0962,0.7651,0.5035,0.9519,0.0034,0.0898,3.1154,0.0898,0.008,0.9257,8.3255,0.6467,-0.0449,BENIGN
0.0383,0.8007,0.7708,0.9808,0.0028,0.0898,3.0174,0.0898,0.0081,0.9135,9.6395,0.8534,0.4832,BENIGN
0.0243,0.7663,0.8722,0.9878,0.005,0.0897,2.4648,0.0898,0.0081,0.9493,20.4758,1.8698,1.1064,BENIGN
0.0401,0.8192,0.7397,0.9799,0.0033,0.0898,2.2966,0.0898,0.0081,0.9255,9.3438,0.8665,0.15,BENIGN
0.0312,0.7489,0.8457,0.9844,0.003,0.0898,2.038,0.0898,0.0081,0.9182,18.503,1.4748,1.1751,BENIGN
0.0547,0.7605,0.7201,0.9727,0.0029,0.0898,2.7317,0.0898,0.0081,0.916,6.9099,0.4599,-0.3543,BENIGN
0.0303,0.7296,0.8588,0.9849,0.0049,0.0897,2.7155,0.0898,0.008,0.9479,11.08,1.0323,-0.5364,BENIGN
0.0333,0.775,0.82,0.9834,0.0023,0.0898,3.2341,0.0898,0.008,0.8936,6.9787,0.6898,0.9689,BENIGN
0.0524,0.7749,0.7175,0.9738,0.0019,0.0898,2.9814,0.0898,0.0081,0.8776,7.5606,0.5808,1.0628,BENIGN
0.0283,0.8496,0.7841,0.9858,0.0047,0.0897,2.9656,0.0898,0.0081,0.9461,8.5207,0.833,0.1628,BENIGN
0.0246,0.807,0.8487,0.9877,0.0029,0.0898,2.7349,0.0898,0.0081,0.9142,10.3423,0.9065,0.8186,BENIGN
0.0196,0.7383,0.9057,0.9902,0.0059,0.0896,2.5246,0.0898,0.008,0.9568,10.5263,0.9377,0.5549,BENIGN
0.0848,0.6132,0.7031,0.9576,0.0024,0.0898,3.3353,0.0898,0.0081,0.8999,6.7107,0.5097,1.1379,BENIGN
0.0347,0.8083,0.7854,0.9826,0.0035,0.0897,3.3364,0.0898,0.008,0.9282,6.7192,0.6948,-0.8435,BENIGN
0.0264,0.7787,0.8548,0.9868,0.004,0.0897,2.5306,0.0898,0.0081,0.937,11.6267,1.0159,0.4747,BENIGN
0.0272,0.7496,0.8647,0.9864,0.0048,0.0897,2.5846,0.0898,0.0081,0.9465,10.7269,0.9211,0.821,BENIGN
0.0698,0.7257,0.6804,0.9651,0.0031,0.0898,2.656,0.0898,0.0081,0.9196,16.5086,1.456,0.4101,BENIGN
0.0287,0.8189,0.8138,0.9856,0.0025,0.0898,3.0433,0.0898,0.0081,0.9025,8.4786,0.5945,1.2953,BENIGN
0.0345,0.8353,0.7574,0.9828,0.0041,0.0897,3.1699,0.0898,0.008,0.9382,7.0776,0.575,-0.2485,BENIGN
0.0169,0.9183,0.7768,0.9916,0.0051,0.0897,2.9565,0.0898,0.008,0.9495,12.6688,1.1326,-0.846,BENIGN
0.0314,0.8049,0.8089,0.9843,0.0017,0.0898,3.0324,0.0898,0.0081,0.8652,8.268,0.6179,0.6244,BENIGN
0.0161,0.7,0.9306,0.992,0.0064,0.0896,2.8978,0.0898,0.008,0.9595,11.8537,1.0823,2.2251,BENIGN
0.0314,0.8049,0.8089,0.9843,0.0017,0.0898,3.0324,0.0898,0.0081,0.8652,8.268,0.6179,0.6244,BENIGN
0.0339,0.7885,0.8071,0.9831,0.0023,0.0898,2.8497,0.0898,0.0081,0.8934,8.7811,0.7697,0.2968,BENIGN
0.037,0.8187,0.7604,0.9815,0.0043,0.0897,2.8474,0.0898,0.008,0.9416,9.0975,0.8274,0.1014,BENIGN
0.0547,0.7605,0.7201,0.9727,0.0029,0.0898,2.7317,0.0898,0.0081,0.916,6.9099,0.4599,-0.3543,BENIGN
0.0206,0.6726,0.9171,0.9897,0.0051,0.0897,3.0367,0.0898,0.0081,0.9497,17.4635,1.7007,0.0828,BENIGN
0.0351,0.8046,0.7864,0.9824,0.0034,0.0898,3.2447,0.0898,0.0081,0.9264,7.3394,0.6978,-0.3183,BENIGN
0.0231,0.8262,0.8444,0.9884,0.0043,0.0897,2.8328,0.0898,0.008,0.9417,9.6373,0.7305,-0.352,BENIGN
0.0187,0.8451,0.8606,0.9906,0.003,0.0898,3.1261,0.0898,0.008,0.9186,10.3494,0.8518,0.9991,BENIGN
0.0346,0.7803,0.8093,0.9827,0.0033,0.0898,3.295,0.0898,0.008,0.9247,7.1621,0.6889,-0.3103,BENIGN
0.0512,0.7816,0.7172,0.9744,0.0028,0.0898,3.184,0.0898,0.0081,0.9134,7.6515,0.6583,0.9101,BENIGN
0.0524,0.7751,0.7175,0.9738,0.0027,0.0898,3.0082,0.0898,0.008,0.9086,7.6798,0.5823,-0.0585,BENIGN
0.0206,0.8076,0.8731,0.9897,0.0028,0.0898,2.7257,0.0898,0.0081,0.9111,10.678,0.8122,0.881,BENIGN
0.0387,0.7976,0.7716,0.9807,0.0041,0.0897,3.0274,0.0898,0.0081,0.9381,9.254,0.9508,0.8196,BENIGN
0.0187,0.8451,0.8606,0.9906,0.003,0.0898,3.1261,0.0898,0.008,0.9186,10.3494,0.8518,0.9991,BENIGN
0.031,0.7558,0.843,0.9845,0.0029,0.0898,2.6954,0.0898,0.0081,0.9153,16.0374,1.614,0.0475,BENIGN
0.0351,0.8046,0.7864,0.9824,0.0034,0.0898,3.2447,0.0898,0.0081,0.9264,7.3394,0.6978,-0.3183,BENIGN
0.0353,0.8036,0.7863,0.9824,0.0032,0.0898,3.2316,0.0898,0.0081,0.9226,8.0998,0.7568,-0.3715,BENIGN
0.039,0.798,0.7694,0.9805,0.0024,0.0898,3.05,0.0898,0.0081,0.8993,8.2284,0.6604,0.5828,BENIGN
0.0314,0.8049,0.8089,0.9843,0.0017,0.0898,3.0324,0.0898,0.0081,0.8652,8.268,0.6179,0.6244,BENIGN
0.0204,0.7389,0.9019,0.9898,0.0024,0.0898,3.419,0.0898,0.008,0.899,7.3128,0.589,1.1189,BENIGN
0.0243,0.7429,0.8819,0.9879,0.0032,0.0898,2.9846,0.0898,0.0081,0.9224,8.0215,0.6618,0.7554,BENIGN
0.0215,0.8123,0.8647,0.9893,0.005,0.0897,2.8138,0.0898,0.008,0.9486,16.4121,1.5446,0.2548,BENIGN
0.062,0.7446,0.699,0.969,0.0019,0.0898,3.1328,0.0898,0.008,0.8773,7.1499,0.5738,-1.0318,BENIGN
0.026,0.8414,0.8109,0.987,0.0032,0.0898,3.1673,0.0898,0.008,0.9219,10.4679,1.0627,-0.4316,BENIGN
0.0409,0.7877,0.7681,0.9795,0.0027,0.0898,3.2303,0.0898,0.008,0.9088,7.8153,0.6747,-0.173,BENIGN
0.0513,0.7582,0.7394,0.9744,0.0032,0.0898,3.3031,0.0898,0.008,0.9228,8.386,0.8196,0.1819,BENIGN
0.0516,0.7943,0.7002,0.9742,0.0041,0.0897,3.0058,0.0898,0.008,0.939,7.3141,0.6862,0.3238,BENIGN
0.0346,0.7803,0.8093,0.9827,0.0033,0.0898,3.295,0.0898,0.008,0.9247,7.1621,0.6889,-0.3103,BENIGN
